Title,Descriptions,Category
Jeep Peppy Cadillac commercial.txt,runs on duncan. take advantage of special offers this. month on select 2022 retired courtesy. vehicles at pepe cadillac there's a wide. range of incentives available for. military first responders current. cadillac owners and current owners of. other vehicles along with many corporate. incentives explore the latest models and. unlock your offers online at. peppycadillac.com visit their store and. see why pepe cadillac was once again. awarded the prestigious dealer of the. year award from cadillac happy cadillac. a proud member of the pepe auto group. the name you've trusted since 1168. meet,Not Food
The Home Depot 4th of July commercial.txt,make your fourth of july celebration. even bigger this year with savings on. everything you need to get your yard. ready for summer make sure your flower. beds and bushes can handle the heat with. special savings on vigorous mulch now at. a new lower price of 218 a bag keep the. sun off your soil and water in the. ground plus add a fun pop of color that. will last up to 12 months so hurry in. and get your yard ready for celebrating. in the sun feels like 4th of july at the. home depot how doers get more done. available in store and online color. selection varies by store,Not Food
Thor Love And Thunder commercial.txt,on july 8th there's a maniac who seeks. to end us all from marvel studios i'm. putting together the greatest team ever. paul he's my best friend valkyrie we get. to fight again. the guardians look who it. is jane the old ex-girlfriend judy. foster jane foster it's the summer of. love and thunder you are not lying and. the guns have killed. thor loving thunder pg-13 may be. inappropriate for children under 13.. tickets on sale now meat boost the,Not Food
Z100 Phrase That Pays commercial.txt,prices may be going up this summer but. your bills. are going down. when a thousand bucks every hour nine to. five weekdays. [Music]. thank you thank you oh my gosh i've been. playing forever every hour nine to five. weekdays on c100 just listen for the. keywords to enter at z100.com for your. share of over a quarter mil to pay your. bills. you got it we're gonna fill up your tank. and thank you for listening to z100 new. york's number one hit music station hey,Not Food
Voost I Like To Voost It Voost It commercial.txt,tickets on sale now meat boost the. fizzing amazing vitamin boost that make. you feel like i like the boosted booster. my vitamins can't boost it i like the. boosted boost. in this the fizzing amazing vitamin. boostboost the fizzing amazing vitamin boost. that make you feel like i like the. boosted booster my vitamins can't. [Music],Not Food
Macy_s Summer 20_ Off commercial.txt,selection varies by store. this week at macy's it's officially. summer and your calendar is filling up. fast so use your coupon or macy's card. and get an extra 20 off looks for any. occasion like designer suits blazers and. pants for him and 20 off bags and. wallets perfect for the pool or the. party plus get 40 off almost all sandals. during our great sandal sale and macy's. star rewards members earn on every. purchase except gift cards services and. fees savings off sale and clearance. prices exclusions apply,Not Food
TJ MaxÊ Marshall_sÊ HomeGoods Sierra Carol For A Cause commercial.txt,[Music]. spread a little holiday cheer this. season and carol for a cause with tj. maxx marshall's home goods and sierra. every time someone records a carol on. instagram reels with the hashtag carol. for a cause. tj maxx marshalls homegoods and sierra. will donate ten dollars to. feeding america up to one million. dollars so break out those reindeer. antlers and do something good with. hashtag carol for a cause for more. information. visit letscarelforacause.com. new home ownership can be a real eye,Not Food
iHeartRadio Z100 Jingle Ball The Ice Cream Shop Party Pack Contest commercial.txt,this. i heart radio's jingle ball is back and. we've partnered with the ice cream shop. to bring your favorite frozen treats. right to your door. go to iheart.com forward slash the ice. cream shop. and enter to win a jingle ball party. pack complete with ice cream from brands. like ben. jerry's breyers talente and more it's. the ultimate gift for our coziest. celebration ever. tune in to i heart radio jingle ball on. december 10th and find the ice cream. shop. on your favorite delivery app,Not Food
NYC.txt,hey new york did you know that there are. hundreds of covet 11 testing sites in. the city. testing is safe and confidential and at. no cost to you. get tested often even without symptoms. find a site near you at nyc.gov. kovatesk or call one two one two covet,Not Food
iHeartRadio Z100 Jingle Ball 2020 commercial.txt,the hottest superstars in music come. together for an epic. celebration the one hybrid jingle ball. presented by capital one and this year. we're bringing the best holiday show on. earth to your. living room join us for an incredible. [Music]. night. [Music]. you've been waiting for are almost here. c100 jingle ball 2020 presented by. capital one. hosted by ryan seacrest and elvis durant. thursday december 10th at nine pm watch. on the cw app ncwtv.com and hear it live. on c100 brought to you by official. broadcast partner poland spring the. children's hospital at montefiore and. your local honda dealers,Not Food
Home Depot Home Owner 101 commercial.txt,new home ownership can be a real eye. opener but it's the perfect time to look. into homeowner 101 from the home depot. free live streaming workshops taught by. expert associates. now at homedepot.com workshops you'll. find indoor and outdoor workshops. even home systems workshops plus you'll. get the know-how you need to care for. your biggest investment. master the basics at homeowner 101 only. at the home depot. how doers get more done register now at. homedepot.com. workshops available everywhere with the,Not Food
United States Postal Service Holiday Mail commercial.txt,whatever you send through the u.s postal. service this season. is so much more than mail or packages. in every carrier's hands is a card with. your handwriting. in every box on every truck is your. message that you care. we know how much goes into your holiday. mail. especially this year which is why we go. the distance to bring you closer. learn more at usps.com. closer what happens when a young singer. gets to cut a track with an. r b star yo or a young activist gets to. chop it up with their hero. oh snap you get mcdonald's black and. positively golden mentors the series. elevating the next generation of change. makers. each episode a must-see passing of the. torch between the culture leaders of. today. and the young leaders of tomorrow check,Not Food
Z100 iHeartRadio bumper.txt,workshops available everywhere with the. i heart radio app now. number one for podcasting c100. radio stations,Not Food
Home Depot commercial.txt,how to improve your dining room. by the home depot new wood floors new. paint on the walls. sure you know us for that but how about. a new dining room table. matching chairs bar stools how about. free and flexible delivery with easy. online returns. now you can explore decor in a whole new. way. save now on furniture everything for. your home everything. from homedepot.com how doers get more. done. us only valid through september 7th. limitations apply,Not Food
CarSheild commercial.txt,cars today are computers on wheels. that's it. uh the fancy new tech makes our life. easier in the car but. when something breaks can you afford to. fix the touchscreen display or the. sensor. which can cost thousands of dollars most. likely no that's why i have car shield. and it takes away the worry and the. panic of the expensive repair that you. know is coming. car shield their protection plans can. save you thousands for covered repairs. including. everything from an engine transmission. gps electronics and more you can have. your favorite mechanic or dealership do. the work and car shield takes care of. the rest they also offer complimentary. roadside assistance and a rental car. it's inevitable something's gonna break. it happens to everybody including me so. get. coverage from america's number one auto. protection company like i did and find. out why car shield cars. go farther rates are as low as 11. dollars a month so visit car shield dot. com use the promo code i heart to save. ten percent that's car shield dot com. promo code i heart deductible may apply,Not Food
I Heart Radio Saturday Matinee Moulin Rouge commercial.txt,the stages may be bare but the show goes. on with the i heart radio broadway. saturday matinee every week we play an. entire cast album and give you. behind-the-scenes stories from the. show's stars. this saturday moulin. this is rouge burstein from moulin rouge. the musical and you're listening to i. heart radio broadway the i heart radio. broadway. saturday matinee today at 2 at. iheartradio broadway.com. driven by mercedes-amg driving. performance,Not Food
#NAME?,join a community of online learning and. find your bright future at the american. women's college of bay path university. getting your college education doesn't. necessarily make it so you have. different self-worth or you mean more. there's so many different roads you can. take but if you have the feeling that. you want it go get it. the american women's college is. supportive and kind and what you've. created has changed lives and i'm so. grateful that i can say i've been part. of it. enrolling now for september and november. at baypath.edu. future the advanced surgeons at the,Not Food
Sun-Made Snacks Childhood Is Always In Session commercial.txt,goarmy.com. whether holding down the fort or. bouncing back to school. childhood is always in session so keep. feeding us right with sun-made snacks. just like when you were a kid. remember they're naturally sweet raisins. yup still delicious. and so are some mates other snacks like. creamy yogurt covered raisins. sour raisin snacks that taste like sour. candy with no added sugar. in some means new s'mores and birthday. cake bites all delicious. all made with whole fruit sun made. snacks,Not Food
I Heart Radio At Home Session with Jesse McCartney.txt,don't miss our i heart radio at-home. session with jesse mccartney presented. by hellman's an exclusive. and intimate performance at a time when. we're craving live music watch. tuesday at 8pm eastern 5 pacific on. iheartradio's youtube,Not Food
The Center for Innovative GYN Care commercial.txt,future the advanced surgeons at the. center for innovative gyn care look. beyond quick fixes like birth control to. help their patients find the best. treatment options for complex gyn. conditions. my name is sekina and i had the cigc. groundbreaking minimally invasive. hysterectomy. i got back to my life in a week with. only two small incisions and minimal. scarring. discover the cigc difference with. offices in midtown manhattan and. montclair new jersey. telemedicine appointments are also. available book a consultation at. innovativegyn.com or call 888 surgery,Not Food
Honda Summer Clearance Event commercial.txt,performance. summer seems even brighter when you've. been inside a while. it's time to drive again with honda. kbb.com 2020 best value brand you could. get a great deal on the 2020 passport or. 2020 pilot. with financing as low as 0.1 percent apr. on select models. visit the honda summer clearance event. today. [Music]. for well qualified buyer see dealer for. financing details based on 2020 brand. image shorts from kelly blue but visit. kbb.com for more information,Not Food
"Progressive Hi Jamie, It_s Me Jamie Song Idea commercial.txt",hi it's jamie progressives employee of. the month two months in a row. leave a message at the hi jamie it's me. jamie i just had a new idea for our song. about the name your price tool. so when it's like tell us what you want. to pay hey hey hey. and the trombone goes blah blah blah and. you say we'll help you find coverage. options to fit your budget. then we just all do finger snaps while. the choir goes steven's coming at you. steven's coming at ya. yes no maybe anyway see your practice. tonight i got new lyrics for the rap. break. progressive casualty insurance company. and affiliates price and coverage match. limited by state law,Not Food
Best Fends commercial.txt,participation may vary. when it comes to online meetings you're. crushing it but if you want to crush. something that's a little more fun. why not play best fiends the five-star. rated puzzle game. best fiends is loaded with challenging. puzzles that are so much fun. and you're never accidentally on mute so. take a stress break with the cutest. characters on the planet. and download best fiends for free from. the app store or google play. that's friends without the r best fiends. [Applause],Not Food
Target We_re Here For You commercial.txt,limitations apply. for the health and safety of our guests. and team members we're here for you. that means frequently deep cleaning our. stores and wiping down carts and baskets. after each use. reserving dedicated shopping hours for. our most vulnerable. guests providing masks and gloves to our. team members. and offering contactless shopping. options through the target app like. drive up and same day delivery. we are here for you now more than ever. and your health and safety is our. highest priority. learn more at target.com a bullseye view,Not Food
US Army commercial.txt,cross mountain ranges split cells. command the tools of tomorrow. we are a team of a million unique and. powerful individuals. join forces with us and you can take on. anything. what's your warrior find out at. goarmy.com,Not Food
Z100 bumper.txt,limited by state law. here we go. new york's number one hit music station. csx,Not Food
Hellmann_s Drizzle Sauces commercial.txt,iheartradio's youtube. missing that restaurant flavor at home. this summer hellman's is bringing. crave-worthy flavors to you serving up. new drizzle sauces that you can put on. pretty much anything with flavors like. cilantro lime. roasted garlic and creamy chili honey. you can drizzle dip. and dress to make home the best. restaurant around. [Music],Not Food
Taco Bell Taco And Burritos Cravings Pack Ryan Seacrest voice over commercial.txt,your true friends are the people in your. life that totally get your inside jokes. your unique style. most important what you wanna eat taco. bell knows that when you get together. with your real friends it doesn't matter. what you're doing but hey it might as. well be something that everybody can get. into. like the taco and burrito cravings pack. with four crunchy tacos and four beefy. five layer burritos so even if. you're all sitting around doing. absolutely nothing you know you'll still. have a good time it's taco bell's taco. and burrito cravings pack. get it for the friends they get it for a. limited time at participating taco bell. locations near you,Not Food
Hot Happy Mess Podcast commercial.txt,are you ready for best life minus the. burnout i'm zerry hall from nbc's access. hollywood and my new podcast hot happy. mess is all about the most. important vip you join us each monday as. we discuss relationships self-care. career and much more. our podcast is for mindful ambitious. diverse millennial women who are ready. for more happiness laughter peace and. purpose. now i heart radio is number one for. podcasts and it's easy to see why. listen to hot happy mess every week on. the iheartradio app or wherever you get. your podcasts,Not Food
Z100 Bumper.txt,artists. available everywhere with the i heart. radio app now number one for podcasting. and i heart radio stations,Not Food
iHeartRadio One on One with Selena Gomez.txt,your podcasts. iheartradio goes one on one with selena. gomez with the best advice she has for. her fans. don't change for anyone you know i think. that you constantly go through phases in. your life where you meet new people or. exciting people and. you want to be everything that they want. or need and it's just not worth it if. you're not really happy with who you are. and or if you're not wanting to be. someone that you're not it's just not. worth it. keep listening to i heart radio for more. selena gomez and all your favorite. artists,Not Food
My Computer Career Cyber Security commercial.txt,tax. here's good news even with high. unemployment there's still a need for. hundreds of thousands of cyber security. professionals in the u.s. right now and my computer career is. training people to help meet the demand. no i.t experience no problem take the. free career evaluation today. at mycomputercareer.edu your new life as. an i.t pro. in as little as four months grants. covering up to 53. of the cost are available to those who. qualify it's not rocket science. it's mycomputercareer.edu few things,Not Food
Z100 New Hits commercial.txt,bucks. [Music]. that hit different discover slaps. olivia rodrigo good for you. [Music]. billy eilish your power. [Music]. new york's number one hit music station,Not Food
Home Depot Memorial Day commercial.txt,mycomputercareer.edu. summer it's almost here but memorial day. savings are already. at the home depot in store online. store-wide. like five bags of garden fresh mulch for. just 10 bucks. save on everything from flower beds to a. fresh coat of paint from power tools to. ceiling fans. ready set summer memorial day savings. here now only at the home depot how. doers get more. done limit 75 bags per customer color. selection varies by store while supplies. last continental us only. introducing the lowe's list while. there's innovation in every aisle. these are some of our experts top picks. for 2021 customize any load with the. whirlpool two-in-one washer. control your home with a touch thanks to. samsung connected appliances. repel the rain with hgtv home by. sherwin-williams everlast. and keep the job going longer with the. exclusive new line of flex power tools. made for pros to see who made the full. lows list. visit lowes.com lowe's home to any. budget. home to any possibility all the good,Not Food
Office DepotÊ Office Max Here For Your Business commercial.txt,office depot officemax is here with. everything you need to keep business. going and work from anywhere. shop our wide assortment of furniture. chairs technology. printing cleaning products school. supplies and more although your local. store across from rotterdam square mall. has recently closed. we invite you to shop 24 7 at. officedepot.com. and enjoy free next business day. delivery on qualifying orders of 45. or more within our local delivery areas. get just what you need. just when you need it at office depot. office max,Not Food
iHeart Radio Goes One on One withÊ Selena Gomez Social Media.txt,i heart radio goes one-on-one with. selena gomez to ask what she thinks. about social media. obviously there's certain things where. i'm like oh that's pretty harsh like. that was kind of unnecessary but uh. at the same time i have to consider the. source you know. these are people who are probably. younger than me a lot of angst. boards you know people but i think in. general i'm more concerned with how much. people. are so devoted to getting so many likes. and they're affected by who follows them. and you know at the end of the day we're. not saving lives it's instagram people. keep listening to i heart radio for more. of selena gomez and all your favorite. [Music]. artists,Not Food
CVS Help Hub commercial.txt,at cvs health hub you can see a provider. fill a prescription. and grab what you need all in one trip. even on evenings and weekends. that's healthier made easier visit a cvs. health hub today. services vary by location see cvs.com. healthhub for details,Not Food
Girls5Eva commercial.txt,we are girls streaming only on peacock. a new comedy about a 10's throwback. girls 5 ever booked a gift. everybody sing from your diaphragm okay. which one girls five evan. all episodes streaming now only on. peacock,Not Food
My Computer Career ITÊ Cyber Security commercial.txt,news. even with high unemployment there's. still a need for hundreds of thousands. of cyber security professionals in the. us. right now and my computer career is. training people to help meet the demand. no i.t experience no problem take the. free career evaluation today. at my computer mycomputercareer.edu. start your new life as an it pro in as. little as. four months grants covering up to 53 of. the cost are available to those who. qualify. it's not rocket science it's. mycomputercareer.edu,Not Food
Ruffio Keeps You On Top of Pop-Culture.txt,stuff. yeah rufio keeps you on top of pop. culture. maroon 5 revealed the tracklist for. their upcoming seventh album. including collaborations with the late. rappers juice world and nipsey hustle. the album titled jordy pays tribute to. the band's late. long time manager jordan feldstein who. died in 2017.. juice world is featured in can't leave. you alone and nipsey is on the remix of. memories which will also feature. nipsey hustle's close friend yg. and that's what's poppin i'm rufio on i. heart radio,Not Food
Z100 Pays Your Bills Contest commercial.txt,[Music]. just enter this nationwide keyword at. c100.com. the word is joy the joy you feel when. you get free. money is great go to z100.com enter the. word joy to get yourself a thousand,Not Food
ZipRecruiter commercial.txt,peacock. finding great candidates to hire can be. like well. trying to find a needle in a haystack. sure you can post your job to some job. board but then. all you can do is hope the right person. comes along which is why you should try. ziprecruiter for free at. ziprecruiter.com. iheart ziprecruiter doesn't depend on. candidates finding you. it finds them for you its powerful. technology. identifies people with the right. experience and actively invites them to. apply to your job you get qualified. candidates. fast so while other companies might. deliver a lot of hay. zip recruiter finds you what you're. looking for the needle in the haystack. see why four out of five employers who. post a job and ziprecruiter get a. quality candidate within the first day. ziprecruiter the smartest way to hire. and now you can try ziprecruiter for. free that's right. free at ziprecruiter.com iheart. that's ziprecruiter.com iheart. ziprecruiter.com i heart here's good,Not Food
mcdonalds_ad__1986_,McDonald's hash brown,Food
sonic_drive_in__2_sonic_guys__full_throttle_slush,how you doing you ready for your first full throttle. Slush yeah I don't know man I'm to never have them before some kind of nervous energy drink,Food
sonic_drive_in_tropical_mango_tea_commercial,raspberry iced tea I mean of all the letters you can pick from yty not raspberry iced him or any of the other like 48 letters first of all that's way too many letters how many letters are in the alphabet,Food
wendy_s___2004___wild_mountain_bacon_cheeseburger_commercial,Wendy's founder Dave Thomas knew that you like to surprise now and then and that's why Wendy's brought it back are wild mountain bacon cheeseburger of course it's still prepared fresh of the beef is hot and juicy would you experience a nice kid from the hot and Smoky Southwestern peppersauce leaving out of colby jack cheese and bacon and we still do today so don't wait Wendy's it's better here,Food
kentucky_fried_chicken_commercial__1983_,we had a show I'll describe you got a right to chicken done right I make it tender,Food
mcdonald_s_ad__time_out___1987_,the starting lights are on the floor and here comes Michael Jordan,Food
burger_king___2003___kid_s_club_shake__em_fries___nintendo_promotion_commercial,Shake Em Up fries are back at Burger King and there's so many ways you can shake him up,Food
sonic_drive_in_2_sonic_guys__friends_like_egg_n_bacon,ingredients in a bacon egg and cheese burrito whole go really well together,Food
kentucky_fried_chicken___kfc___2002___real_meal_deal_commercial_with_jason_alexander,pardon the intrusion but I have this one question,Food
sonic_drive_in__2_sonic_guys__ciabatta_or_pumpernickel,I just sausage breakfast sandwich,Food
1996_domino_s_pizza___roma_herb_crust_commercial,there's something deliciously new when dominoes are New Roma Earth crust pizza,Food
johnny_rockets___burger_battle,welcome back to the Burger battle final will it be Chef Pierre crayfish banana quilt,Food
krystal_commercial,we found these in your desk do you have anything to say for yourself anyone else,Food
mcdonalds_ad__1990_,come on This Is Us grab everything,Food
mcdonald_s,get your Savory crunchy crispy french fries faves everyday now when you buy one of your select McDonald's favorite to get another for just a dollar like a McDouble McChicken four piece chicken McNuggets,Food
subway,add Subway restaurant we realize with today's economy you're done with doesn't stretches far so we're giving you a break with our sizzling summer of savings enjoy your favorite regular Footlong sandwiches for just $5,Food
mcdonald_s_ad__1985_,the biscuits from McDonald's cover for me of course silly,Food
Caribbean Food Delights Jamaican Beef Patty commercial.txt,vary exclusively limited time. the taste of the caribbean is never far. away with caribbean food delights. jamaican beef patties. available at bj's walmart costco sam's. club and selected supermarkets. ask for the best visit. caribbeanfooddelights.com. oh yeah,Food
Dunkin Medium Hot Coffee for $1.txt,for details what's one great way to get. back running. one medium hot coffee for one dollar now. when you buy a breakfast sandwich at. dunkin we'll throw in a medium hot. coffee for a dollar more. bite into a bacon egg and cheese. croissant and get a coffee for a single. munching egg and cheese on an english. muffin and your cup of joe is a buck. go beyond meat with a beyond sausage. sandwich and for 100 pennies more. add a coffee to go with it buy your. favorite sandwich and get a medium hot. coffee for a dollar. america runs on dunkin participation may. vary exclusively limited time,Food
McDonald_s The We_re Going Family Style Deal commercial.txt,the we're going family style deal. because i want a bite of your big mac. and i need some of your quote upon i'll. try your filet of fish there's a deal. for every friend group at mcdonald's buy. one classic and get another for just a. buck price and participation may vary. cannot be combined with any other offer,Food
Stop _ Shop Healthy Eating commercial.txt,presbyterian. [Music]. the thing about eating healthy is that. everyone's version is a little different. at stop and shop you'll find all the. fresh variety and staples you need to. follow your healthy no matter how you go. about it whether you're a slice and. dicer. you like to mix it up. or prefer making a plan monday salmon. bok choy chickpeas tuesday let's say. tacos we're your one stop shop for. everything on your list for every. healthy for every moment stop and shop. feed the moment,Food
Celsius Energy Drinks commercial.txt,grab an ice cold can of celsius and stay. active and energized all day. celsius is better for you energy made. with premium ingredients zero sugar and. seven essential vitamins with no high. fructose corn syrup no aspartame no. preservatives and no artificial colors. or flavors. celsius is just the essential energy you. need to keep you fueled and active all. day celsius essential energy. live fit. now find celsius at celsius.com or a. retailer near you,Food
Food Town commercial.txt,looking to spend more time celebrating. with family and friends check out. foodtown's fresh meats and prepared. foods to help you plan any size. gathering and foodtown offers seasonal. signature produce items take to the peak. of freshness futon helps you celebrate. with only the freshest and highest. quality products foodtown make the most. of your,Food
Poland Spring Recycled Plastic Bottles commercial.txt,hey it's garrett the poland spring brand. wants to provide more than 100 natural. spring water and they want to make a. difference that's why they're rescuing. millions of pounds of plastic and. transforming them into new bottles that. are 100 recycled you can join them by. pledging to recycle your bottle and for. each pledge poland spring will donate. safe clean drinking water to local. communities in need go to. polandspring.com forward slash pledge to. find out more. is only 20 on 700 milliliters and 1.5. liter size bottles,Food
Dunkin_ Pumpkin Spice Flavors commercial.txt,teaming up with turtle wax this summer. to make sure your rods are clean shiny. protected and even disinfected because. whether you're hitting the streets or. heading out on the highway to the beach. turtle wax will make sure your vehicle. is looking smelling and feeling amazing. turtle wax is the only brand that i. trust with my fleet of supercars and. y'all know how many cars i keep in my. garage right check out turtlewax.com to. learn more and be sure to buy now at. turtlewax.com or anywhere you shop for. car care. jenkinson's boardwalk. come experience the sand. exciting games. fun rides. and all the adventure. the memories you'll make here at. jenkinson's boardwalk will last a. lifetime. from day to night relax indulge and let. go. jenkinson's boardwalk generating smiles. for generations. duncan is putting a whole new spin on. pumpkin at dunkin with our new pumpkin. cream cold brew smooth bold cold brew. topped with velvety pumpkin cream cold. foam made with cinnamon and nutmeg. spices and there's more pumpkin for you. to love like the delicious fall classic. our pumpkin spice signature latte rich. espresso topped with cream caramel. drizzle and cinnamon sugar that's how we. pumpkin at dunkin siff into the fall. season with the new pumpkin cream cold. brew or pumpkin spice signature latte. america runs on dunkin price and. participation may vary limited time. offer exclusions apply. hey it's carolina inviting you to try,Food
Pressed Juicery commercial.txt,hey it's carolina inviting you to try. the greens challenge with pressed press. gave me a delicious and nutritious green. juice to kick-start each morning for,Food
Dunkin_ Dunkin_ Latte Lounge commercial.txt,take a latte break and head to dunkin. latte lounge.com check out performances. from rising artists behind the scenes. content upcoming events interviews. podcasts and more you guys are amazing. thank you everyone enter for your chance. to win medium dunkin lattes for a year. try the all new festival green shamrock. macchiato from duncan bold espresso. layer to top notes of sweet cream. vanilla and the flavor of irish whiskey. for the perfect kick of irish green. flavor pair it with her new chocolate. croissant america runs on duncan price. and participation a very limited time. offer,Food
Extra Gum Skeery Jones Z100 sponsor commercial.txt,hey it's curry jones it's been a long. winter i think we're ready to cut loose. but rushing into things can lead to some. awkward decisions here's a tip for you. grab some extra gum and chew it before. you do it whether you're hitting the. road or breaking a sweat or sneaking a. kiss it's the crisp refreshing way to. refocus when a little moment of pause is. all you need to avoid doing something. you'll regret grab some extra gum at. your local target and chew it before you. do it,Food
Balance US Less Sugar commercial.txt,plus community. the coca-cola company keurig dr pepper. and pepsico are bringing consumers more. choices with less sugar than ever before. from sparkling flavored and bottled. waters to zero sugar sports drinks teas. and sodas. consumers are taking advantage of these. choices in fact. nearly 60 percent of beverages sold. contain zero sugar to learn more visit. balanceus.org,Food
Wendy_s Late Night Fries commercial.txt,makes a good night bad or bad night. worse than hitting up a drive-through. and getting served cold tired fries. golden more like soggy arches. tonight naked wendy's where fries are. hot and crispy not cold and soggy. they're also preferred over mcdonald's. almost two to one. in the night on a good friday choose. wisely choose wendy's late night taste. test preference based on the national. taste test by the end of the research. company. [Music],Food
Dunkin_ Sunrise Batch Coffee commercial.txt,start submarine with duncan's new. sunrise batch coffee. td perks members enjoy a medium sunrise. batch hot or iced coffee for two dollars. not a member join today america runs on. dunkin. price and participation may vary limited. time offer exclusions apply,Food
Wendy_s Your New Favorite Breakfast commercial.txt,wendy's only makes one kind of breakfast. your new favorite one how do we do it. with fresh cracked eggs oven baked bacon. and flaky croissants. you know the things your old breakfast. wasn't doing so toss that old noose and. its soggy eggs. somewhere useful and gets a wendy's with. a sausage egg and swiss croissant. bacon egg and swiss croissant and honey. butter chicken biscuit. are just two for four dollars choose. wisely choose wendy's two for four. limited time only single item at regular. price price and participation may vary. at us wendy's,Food
Macy_s One Day Sale commercial.txt,at us wendy's. it's macy's one day sale with great. deals of the day to keep your summer. look going strong. like 40 to 60 off new outfits you'll. want to wear on repeat. and 30 to 60 off the perfect shoes and. sandals to match. then add fine jewelry for the finishing. touch now 70. off plus star rewards members earn. rewards faster during star money bonus. days. going on now at macy's savings off sale. and clearance prices exclusions apply,Food
Entenmann_s Little Bites I Love Lil_ Bites commercial.txt,whenever i bring home entenmann's little. bites muffins little bites. that's right sweetie can you just give. mommy a minute i love little bites. i know you do but we're doing a. commercial right now okay. got it as i was saying whenever i bring. home you know what. you know who gets pretty excited and so. do i little bites muffins are made with. real ingredients. no high fructose corn syrup and are. baked moist and delicious. i love little bites there you go yes. entamon's little bites muffins the. perfect portion. of happiness in the 80s vcrs and,Food
Lil_ Critters Gummies Sweepstakes commercial.txt,back to school season means the return. to routine and this year to get ready. little critters gummy vitamins wants you. to share your big little wins for. getting back to routine. our big little win was everyone waking. up in a good mood for a chance to win. follow on with mario and little critters. on instagram and share using hashtags. big little wins and sweepstakes entry. just visit onwardmorris.com lil wins for. info. and rules no purchase necessary open. illegal usdc residents age of majority. ends. august 8th 2021 voidware prohibited,Food
C-Town Summer Gatherings commercial.txt,a commitment to lend. hey it's dj pro style summer is here and. c-town supermarkets have you covered. for everything you need to make all your. gatherings meals and celebrations. sizzling visit seedtownsupermarkets.com. to find the store. nearest you too busy at the barbecue. online ordering is available at select. locations so be sure to look for the one. near you. summer is here and c-town is bringing. the savings your town. your store your sea town official. grocery store of the angie martinez. summer barbecue,Food
Poland Spring 100_ Recycled Bottles commercial.txt,hey it's garrett the poland spring brand. wants to provide more than 100 natural. spring water and they want to make a. difference. that's why they're rescuing millions of. pounds of plastic and transforming them. into new bottles that are 100 recycled. you can join them by pledging to recycle. your bottle and for each pledge poland. spring will donate safe clean drinking. water to local communities in need. go to polandspring.com forward slash. pledge to find out more 1.5 liter size. bottles,Food
Air Heads Truth or Dare commercial.txt,monday's international group you want to. play truth or dare. okay i'll go first truth airheads are. not only delicious and. fun to eat they help you bring more play. into your everyday. and i dare you to try them grab some. airheads today. and play more play delicious i'm a,Food
Magnum Ice Cream Double Sea Salt Caramel commercial.txt,are affiliate. how do you crack into a tub of magnum. ice cream double sea salt caramel. with pleasure crack the rich outer shell. to find caramel sauce and pieces of milk. chocolate swirled in vanilla ice cream. tap to buy now. [Music],Food
Mc Donald_s The J Balvin Meal commercial.txt,classo. hola and i'm dropping my mcdonald's. order hey big mac. no pickles for me please meet them fries. and an oreo mcflurry get the jay pal. being with the mcdonald's. and the oreo mcflurry is on me for. limited time at participating with. donald's found yesterday. for details oreo is a trademark for. monday's international group you want to,Food
Wendy_s Breakfast Baconator commercial.txt,wendy's we make breakfast better like. with our breakfast baconator better from. top to bottom bun. savory sausage patty better crispy oven. baked bacon better fresh cracked egg. that's her the breakfast baconator might. just be the greatest breakfast sandwich. of all time so you can keep settling for. not better or you can get a better. breakfast from wendy's tough choice. choose wisely choose wendy's better. breakfast participating us wendy's. during breakfast hours. you,Food
McDonald_s Road Trip commercial.txt,if you went on a road trip and you. didn't stop for a big mac or drop a. crispy fry between the car seats or use. your mcdonald's bag as a placemat then. that wasn't a road trip it was just a. really long drive. [Music]. at participating mcdonald's,Food
Dunkin_ Cake Batter Signature Late commercial.txt,they say shoot for the moon because if. you fall you'll land amongst the stars. but sometimes. you just land on the moon. with bold espresso cake batter flavor. mocha drizzle and sprinkles too. we're pushing the boundaries of. deliciousness like never before. introducing the dunkin cake batter. signature latte. mission accomplished everyone america. runs on duncan,Food
White Castle 1921 Slider commercial.txt,white castle presents ceo lisa ingram my. great grandfather opened white castle in. 1121. which is why i'm excited to announce the. new 1121 slider inspired by how we made. them a hundred years ago with a 100 beef. patty topped with cheddar cheese. caramelized onions tomato lettuce and. pickles come see why originality never. goes out of style i'm lisa but you can. call me the slider queen white castle. long live sliders pasteurized processed. cheese at participating castles at,Food
Taco Bell Enrique Avalos $5 Toasted Cheddar Chalupa Box commercial.txt,enrique santos for taco bell the toasted. cheddar chalupa from taco bell is back. and i know what you're thinking. because i'm thinking the same thing did. they really toast. six month old aged cheddar right onto a. delicious flaky chalupa shell again. yes they did but now it's even tastier. it comes with a crunchy taco. cinnamon twist and a medium drink all in. a five dollar box. that's right all that for just a little. cheddar but don't forget. it's back for a limited time the five. dollar toasted cheddar chalupa box. only at taco bell you don't want to miss. this,Food
Taco Bell $5 Toasted Cheddar Chalupa Box commercial.txt,nineteen. no way taco bell's toasted cheddar. chalupa is back. are you thinking what i'm thinking. and now comes in a box with a crunchy. taco cinnamon twist and a medium drink. whoa oh sorry this is this is my stuff. cool we're all thinking it the five. dollar toasted cheddar chalupa box is. back. only at taco bell at limited. participating use locations for limited. time only contact local store for prices. hours and participation which fairy tax. excludes freezes,Food
